task,model,building_id,source_area,context_tolerance_m,paired_point_rmse_m,hausdorff_distance_m,relative_area_error_pct,source_is_valid,target_is_valid,prediction_is_valid
Fixed 2 m target,Identity baseline,2594,wedding,,2.139527007638512,1.667248230469962,1.3963234214538147,True,True,True
Fixed 2 m target,Identity baseline,2595,wedding,,0.7589593482185417,1.3139434277361315,4.2288429516240065,True,True,True
Fixed 2 m target,Identity baseline,2596,wedding,,0.34728283164201446,0.6789905199447976,1.3757613769406385,True,True,True
Fixed 2 m target,Identity baseline,2597,wedding,,0.8289168777050776,1.9999999850988388,2.360140109747908,True,True,True
Fixed 2 m target,Identity baseline,2598,wedding,,0.5982049040169648,0.9356743174244592,2.8005754660346796,True,True,True
Fixed 2 m target,Identity baseline,2599,wedding,,1.0163459515827329,1.5534963900101908,3.0361164608910998,True,True,True
Fixed 2 m target,Identity baseline,2600,wedding,,0.245503975639912,1.0915157699206786,0.8401851492900573,True,True,True
Fixed 2 m target,Identity baseline,2601,wedding,,1.1892462443395735,1.7177947192933003,5.156573135533904,True,True,True
Fixed 2 m target,Identity baseline,2602,wedding,,1.6350258674467641,1.1232502303231275,3.226736904006093,True,True,True
Fixed 2 m target,Identity baseline,2603,wedding,,0.48080207118398094,0.9722718107136585,3.259277995358071,True,True,True
Fixed 2 m target,Identity baseline,2604,wedding,,0.6409584009757021,0.8560567713050107,2.3425356245613083,True,True,True
Fixed 2 m target,Identity baseline,2605,wedding,,0.2955873068393901,0.5000002067536116,3.1963469102560067,True,True,True
Fixed 2 m target,Identity baseline,2606,wedding,,0.20955857108837228,0.27597378881023044,0.14458068884897904,True,True,True
Fixed 2 m target,Identity baseline,2607,wedding,,0.29476016365630703,0.7012591638442282,1.7215903001354886,True,True,True
Fixed 2 m target,Identity baseline,2608,wedding,,1.0006711907138561,1.5065974312248056,2.915909352420633,True,True,True
Fixed 2 m target,Identity baseline,2609,wedding,,0.17053814268593653,0.46854758332782553,0.7339699930399967,True,True,True
Fixed 2 m target,Identity baseline,2610,wedding,,0.9387363891202547,1.4739184705656385,1.215731678420883,True,True,True
Fixed 2 m target,Identity baseline,2611,wedding,,1.0367690429295233,1.2057364064688991,5.272332154803768,True,True,True
Fixed 2 m target,Identity baseline,2612,wedding,,0.017469404001747284,0.04396482572978253,0.06028173466603504,True,True,True
Fixed 2 m target,Identity baseline,2613,wedding,,0.531652044002581,0.7198386973685923,0.3737153288176331,True,True,True
Fixed 2 m target,Identity baseline,2614,wedding,,0.08924732344171206,0.33890131256398226,0.37719164667282473,True,True,True
Fixed 2 m target,Identity baseline,2615,wedding,,0.4287631940394493,0.6450097557513021,0.9908369690277891,True,True,True
Fixed 2 m target,Identity baseline,2616,wedding,,0.866923509217784,0.9586855910203624,1.2484664974935407,True,True,True
Fixed 2 m target,Identity baseline,2617,wedding,,0.44221790761188196,0.6669730575638548,0.2174673359998124,True,True,True
Fixed 2 m target,Identity baseline,2618,wedding,,0.019917979564825876,0.04067394151714475,0.1542108906159931,True,True,True
Fixed 2 m target,Identity baseline,2619,wedding,,0.9358383454383609,1.259323530915582,3.628735803443132,True,True,True
Fixed 2 m target,Identity baseline,2620,wedding,,1.4466314505886344,2.192934259787382,0.6427259750509703,True,True,True
Fixed 2 m target,Identity baseline,2621,wedding,,0.5622015017182325,0.7678689795271398,0.18904588057572477,True,True,True
Fixed 2 m target,Identity baseline,2622,wedding,,0.6889411419998103,1.3287682488232573,12.835424023346462,True,True,True
Fixed 2 m target,Identity baseline,2623,wedding,,1.349981059732841,1.4616006764313203,8.837013087325357,True,True,True
Fixed 2 m target,Identity baseline,2624,wedding,,0.8262988017529918,0.8867838706392404,4.799348141544963,True,True,True
Fixed 2 m target,Identity baseline,2625,wedding,,0.6406012584587885,0.822146521787064,0.07665818610233605,True,True,True
Fixed 2 m target,Identity baseline,2626,wedding,,1.2476786565677396,1.700629349587552,4.584033950779856,True,True,True
Fixed 2 m target,Identity baseline,2627,wedding,,0.5908130788193952,0.632929012437197,0.3434567968775153,True,True,True
Fixed 2 m target,Identity baseline,2628,wedding,,0.49243545628065866,1.297097889997343,2.6913872512950454,True,True,True
Fixed 2 m target,Identity baseline,2629,wedding,,1.0205859820878929,1.3298930365532693,0.7084489924962253,True,True,True
